Albert Gudmundsson, 6.53
Alfred Finnbogason, 7.11
Ari Freyr Skúlason, 6.50
Arnór Ingvi Traustason, 6.50
Aron Gunnarsson, 7.07
Birkir Bjarnason, 6.34
Birkir Már Saevarsson, 6.50
Björn Sigurdarson, 6.88
Emil Hallfredsson, 6.19
Frederik Schram, 6.50
Gylfi Sigurdsson, 6.59
Hannes Thór Halldórsson, 6.50
Hólmar Örn Eyjólfsson, 6.50
Hördur Björgvin Magnússon, 6.84
Johann Berg Gudmundsson, 7.05
Jón Dadi Bödvarsson, 6.7
Kári Árnason, 6.50
Ólafur Ingi Skúlason, 6.28
Ragnar Sigurdsson, 7.06
Rúnar Alex Rúnarsson, 6.50
Rúrik Gíslason, 6.83
Samúel Kári Fridjónsson, 6.50
Sverrir Ingi Ingason, 7.03
