Majid Hosseini, 6.50
Mehdi Torabi, 6.50
Mohammad Reza Khanzadeh, 6.50
Omid Ebrahimi, 6.50
Roozbeh Cheshmi, 6.50
Alireza Beiranvand, 6.50
Alireza Jahanbakhsh, 8.35
Amir Abedzadeh, 6.69
Ashkan Dejagah, 5.88
Ehsan Haji Safi, 6.50
Karim Ansarifard, 6.50
Masoud Shojaei, 7.02
Mehdi Taremi, 6.50
Milad Mohammadi, 7.17
Mohammad Rashid Mazaheri, 6.50
Morteza Pouraliganji, 6.50
Pejman Montazeri, 6.50
Ramin Rezaeian, 6.50
Reza Ghoochannejhad, 6.56
Saeid Ezatolahi, 6.99
Saman Ghoddos, 7.50
Sardar Azmoun, 7.18
Vahid Amiri, 6.50
