Abdullah Al Muaiouf, 6.50
Abdullah Otayf, 6.50
Hattan Sultan Babhir, 6.50
Mohammed Kanoo, 6.50
Mohanad Asiri, 6.50
Abdullah Al Khaibari, 6.50
Abdulmalek Al-Khaibri, 6.50
Ali Albulayhi, 6.50
Fahad Al Muwallad, 5.99
Hussain Al-Mogahwi, 6.50
Mansour Al-Harbi, 6.50
Mohammed Al Owais, 6.50
Mohammed Al Sahlawi, 6.50
Mohammed Al-Burayk, 6.50
Motaz Hawsawi, 6.50
Omar Hawsawi, 6.50
Osama Hawsawi, 6.50
Salem Al Dawsari, 6.1
Salman Al Faraj, 6.50
Taiseer Al Jassam, 6.50
Yahya Al Shehri, 6.50
Yasir Al Shahrani, 6.50
Yasser Al-Mosailem, 6.50
