Adem Ljajic, 7.38
Aleksandar Kolarov, 7.51
Aleksandar Mitrovic, 7.27
Aleksandar Prijovic, 6.50
Andrija Zivkovic, 7.52
Antonio Rukavina, 6.73
Branislav Ivanovic, 7.13
Dusan Tadic, 6.78
Dusko Tosic, 6.95
Filip Kostic, 6.84
Luka Jovic, 6.36
Luka Milivojevic, 7.02
Marko Dmitrovic, 6.54
Marko Grujic, 7.38
Milan Rodic, 7
Milos Veljkovic, 6.64
Nemanja Matic, 7.22
Nemanja Radonjic, 6.94
Nikola Milenkovic, 6.84
Predrag Rajkovic, 6.32
Sergej Milinkovic-Savic, 7.35
Uros Spajic, 6.55
Vladimir Stojkovic, 6.75
