home,homeresult,scorehome,scoreaway,awayresult,away
France,L,0,1,W,Senegal
Uruguay,L,1,2,W,Denmark
France,D,0,0,D,Uruguay
Denmark,D,1,1,D,Senegal
Denmark,W,2,0,L,France
Senegal,D,3,3,D,Uruguay
Paraguay,D,2,2,D,South Africa
Spain,W,3,1,L,Slovenia
Spain,W,3,1,L,Paraguay
South Africa,W,1,0,L,Slovenia
South Africa,L,2,3,W,Spain
Slovenia,L,1,3,W,Paraguay
Brazil,W,2,1,L,Turkey
China,L,0,2,W,Costa Rica
Brazil,W,4,0,L,China
Costa Rica,D,1,1,D,Turkey
Costa Rica,L,2,5,W,Brazil
Turkey,W,3,0,L,China
South Korea,W,2,0,L,Poland
United States,W,3,2,L,Portugal
South Korea,D,1,1,D,United States
Portugal,W,4,0,L,Poland
Portugal,L,0,1,W,South Korea
Poland,W,3,1,L,United States
Ireland,D,1,1,D,Cameroon
Germany,W,8,0,L,Saudi Arabia
Germany,D,1,1,D,Republic of Ireland
Cameroon,W,1,0,L,Saudi Arabia
Cameroon,L,0,2,W,Germany
Saudi Arabia,L,0,3,W,Ireland
England,D,1,1,D,Sweden
Argentina,W,1,0,L,Nigeria
Sweden,W,2,1,L,Nigeria
Argentina,L,0,1,W,England
Sweden,D,1,1,D,Argentina
Nigeria,D,0,0,D,England
Croatia,L,0,1,W,Mexico
Italy,W,2,0,L,Ecuador
Italy,L,1,2,W,Croatia
Mexico,W,2,1,L,Ecuador
Mexico,D,1,1,D,Italy
Ecuador,W,1,0,L,Croatia
Japan,D,2,2,D,Belgium
Russia,W,2,0,L,Tunisia
Japan,W,1,0,L,Russia
Tunisia,D,1,1,D,Belgium
Tunisia,L,0,2,W,Japan
Belgium,W,3,2,L,Russia
