home,homeresult,scorehome,scoreaway,awayresult,away
Russia,,0,0,,Saudi Arabia
Egypt,,0,0,,Uruguay
Morocco,,0,0,,Iran
Portugal,,0,0,,Spain
France,,0,0,,Australia
Argentina,,0,0,,Iceland
Peru,,0,0,,Denmark
Croatia,,0,0,,Nigeria
Costa Rica,,0,0,,Serbia
Germany,,0,0,,Mexico
Brazil,,0,0,,Switzerland
Sweden,,0,0,,Korea Republic
Belgium,,0,0,,Panama
Tunisia,,0,0,,England
Colombia,,0,0,,Japan
Poland,,0,0,,Senegal
Russia,,0,0,,Egypt
Portugal,,0,0,,Morocco
Uruguay,,0,0,,Saudi Arabia
Iran,,0,0,,Spain
Denmark,,0,0,,Australia
France,,0,0,,Peru
Argentina,,0,0,,Croatia
Brazil,,0,0,,Costa Rica
Nigeria,,0,0,,Iceland
Serbia,,0,0,,Switzerland
Belgium,,0,0,,Tunisia
Korea Republic,,0,0,,Mexico
Germany,,0,0,,Sweden
England,,0,0,,Panama
Japan,,0,0,,Senegal
Poland,,0,0,,Colombia
Uruguay,,0,0,,Russia
Saudi Arabia,,0,0,,Egypt
Iran,,0,0,,Portugal
Spain,,0,0,,Morocco
Denmark,,0,0,,France
Australia,,0,0,,Peru
Nigeria,,0,0,,Argentina
Iceland,,0,0,,Croatia
Mexico,,0,0,,Sweden
Korea Republic,,0,0,,Germany
Serbia,,0,0,,Brazil
Switzerland,,0,0,,Costa Rica
Japan,,0,0,,Poland
Senegal,,0,0,,Colombia
Panama,,0,0,,Tunisia
England,,0,0,,Belgium
